id;node_id;text;title;label;reply_type;date_min_value;date_max_value;integer_min_value;integer_max_value;double_min_value;double_max_value;range_min_value;range_max_value;select_list;step;reply_pattern;multiple;place_holder;reply_required;boolean_value;with_comment;position
1;Customer;condivisibile Unbranded;Credit AI Chair;contenuti;INTEGER;2022-10-18;2022-10-18;82403;23576;69507;88784;51907;76848;Lead;39947;Legacy;true;index asimmetrica;true;true;false;34632
2;Music;transmit;withdrawal Salerno;Rubber Cotton;TIME;2022-10-17;2022-10-18;90639;42975;27213;91533;33890;35198;versatile;34213;guida sistemi;true;Liaison Product;true;true;true;24510
3;bluetooth Corporate Chair;SQL;ottima;Regional generating Borgo;TEXT;2022-10-18;2022-10-18;96619;91464;42840;43788;64936;72172;Soluzione;4425;Brand;false;Protocollo Strada Awesome;true;true;true;27728
4;Mauritius Avon Fiji;Technician Bahamas;Rotonda RAM;Bike generate reboot;INTEGER;2022-10-18;2022-10-18;74142;85928;52829;9472;27648;48900;Piazza Table;86073;guida Incredible;false;back-end web;false;false;true;66010
5;Forward XSS Mobility;Roma interface;Implementation HDD Sausages;Gorgeous Gloves;SELECT;2022-10-18;2022-10-18;55626;90061;78517;23988;9820;43727;Future Money aggregate;87363;reti Card Account;true;Licensed Handcrafted payment;true;true;true;93384
6;Developer;Cambridgeshire;Refined Principal;switchabile Berkshire utilizzo;FILE;2022-10-18;2022-10-18;91894;81847;65148;2136;82970;44762;parsing;31560;deposit Sovrastruttura Intranet;false;cyan Sausages ivory;true;false;true;10333
7;Generic parsing;Administrator;compress Maldive;Krona override;DATE;2022-10-18;2022-10-18;39867;44997;93564;94918;6766;24096;applicazioni Investor Borders;34739;Generic Shoes;false;plum parse;true;true;false;47108
8;Legacy Avon Human;yellow Strategist Belize;circuit CSS;Mobility;SELECT;2022-10-18;2022-10-18;68624;43913;14290;7049;78908;87815;Concrete Handcrafted Roma;15111;Home online;true;e-business;false;false;true;10486
9;Infrastructure;hacking Generic;Dobra overriding;reboot;EMAIL;2022-10-18;2022-10-18;57160;30483;88872;66941;39597;7180;Refined responsiva Industrial;84581;digital;false;parsing Tools;true;true;true;58933
10;Avellino;Jewelery Darussalam program;blue pixel Handmade;Forlì-Cesena Concrete;TIME;2022-10-18;2022-10-18;97536;18205;38023;11322;40335;6538;Marketing red TCP;93671;Granite Arezzo Granite;true;Metodologia sensor;true;true;false;16008
