id;node_id;text;title;question_text;note;min_reply_number;max_reply_number;random_replies_order;value_of_answer_sum;attachments_required;image_64;image_alt;node_to_expand;position
1;Via;Steel Manager HDD;Quality Cuneo;Chips;Tasty AI program;12980;38007;true;32112;61052;Executive Incrocio;Dollar ottimizzata;54559;71171
2;Bedfordshire;Shoes guida solid;Shoes Frozen;Berkshire Concrete;invoice turquoise HTTP;18368;87440;true;9956;69394;Rubber Mouse Massa-Carrara;Ravenna;4143;581
3;Manat copy withdrawal;Direct;Migrazione;Administrator metriche Electronics;Frozen orizzontale Home;21519;7993;true;52614;90804;coerente Oristano Industrial;Borders Chief;24207;98347
4;Olbia-Tempio Chair;Clothing;HTTP Monitoraggio;bypassing interfacce;radicale Bedfordshire accrescitive;71549;74204;true;69928;31925;Hryvnia Manager;Automotive Group;3470;79382
5;Soft Principal Funzionalità;Plastic;24 SMTP;navigate Alessandria;Account;91054;2727;true;31891;65785;PNG;Tools Baby Chief;83223;88841
6;utilizzo impattante;generate;Borders;Sports Cambridgeshire;haptic virtual;57522;61581;true;53159;58757;Firmware Frozen;Table;38892;84314
7;Fantastic;payment totale interface;multi-byte esplicita tangibile;comunità;panel;83335;18116;true;12983;44539;Beauty connecting;indexing Director parse;88665;9473
8;deposit metodica Solutions;Chips;Grecia Sol Home;Salerno Firenze;Pound Applicazione migliorata;12057;71209;false;44786;380;panel;Rotonda Beauty;23958;96643
9;FTP;Sleek payment;deploy card Cotton;Configuration Representative Toys;Manager mobile Incredible;28683;41932;false;1177;29548;Borgo;cross-platform Varese;95224;83426
10;ADP 1080p ricche;Produttività;totale;Metal;monitor Analyst bus;35473;94860;true;60097;71190;Designer Chieti innovativi;hacking Gorgeous;74627;14184
